user_id,user_type,plan_type,region,tenure_months,hour_of_day,signal_dbm,snr_db,latency_ms,packet_loss_pct,handovers,cell_load_pct,tower_dist_km,bandwidth_mbps,jitter_ms,data_usage_gb,voice_mins,sms_count,app_sessions,night_usage_pct,roaming_days,support_calls,monthly_bill,demand_load,quality_score,churn_risk,is_anomaly,network_zone,dbscan_zone,user_segment,segment_label,dbscan_user,pca1,pca2,churn_prob,ltv,anomaly_score,iso_flag,svm_flag,ae_flag,z_flag,an_pc1,an_pc2
1,Moderate,Prepaid,West,45,12,-51.87834796382694,0.0,78.73196723627113,6.070564059280331,1,40.2692804298128,1.477414487937354,131.55828045770906,11.16449156722449,10.784928354027306,234.2677822501164,37,12,17.5492125931472,4,0,198.001491246659,30.294288421780674,71.27581960606733,0,0,1,-1,2,Mainstream,-1,-0.6105122505515779,1.7821500828794483,0.0,2970.0,0.4558362622340827,0,0,1,0,0.022238811168893178,0.0747824371047052
2,IoT,Postpaid,South,38,5,-65.64743148664597,19.716274839123088,24.249546232798707,1.644310859447896,1,57.10581222098914,2.537937151394108,16.927309825538664,0.7970000463150803,0.4876177193483054,246.80300755856624,27,11,6.871713304969974,3,2,257.97358040905004,54.49370920974225,79.74630450599162,0,0,1,-1,2,Light / Occasional,-1,0.1318952249771268,1.6343537505005588,0.0,5675.0,0.42576406720519655,0,0,0,0,-0.3311323427770398,-1.0646337573467712
3,Light,Enterprise,Central,20,5,-106.35508685813085,20.370269812592056,58.65013283242977,0.7316046672059167,3,31.47237334173127,0.8138864835313255,17.01207535774674,7.656888148248575,1.4295596042819647,194.44223341863187,21,20,48.83804461852191,1,2,210.6427901882644,24.93378731627481,64.70349243835092,0,0,2,-1,0,Light / Occasional,-1,-0.09289100301225017,-0.699227509019992,0.0,8426.0,0.41672400683773153,0,0,0,0,-0.17010121641328876,0.18485906007081296
4,Moderate,Prepaid,East,49,10,-70.31357377672069,11.541511106028532,19.934498041888663,1.2549595244075389,0,23.07163036648752,3.911481812502567,96.0712341701617,4.433110082738453,7.920761605537621,54.13234635443325,31,13,24.923373945071013,2,2,134.69863498264175,35.37367929509042,74.44717005525372,0,0,1,0,2,Mainstream,-1,-0.5149729003101949,1.3037294211050805,0.0,1482.0,0.4274892394887158,0,0,0,0,-0.2619247485379742,-1.117503297572604
5,Heavy,Enterprise,East,23,18,-114.7410090849327,19.4965211598808,10.455039930330528,0.5389078438850189,2,96.08930998295732,1.6630333763246694,88.30335077536725,3.009472019244337,15.69476987332338,275.3862981641782,30,14,46.456840541520656,2,0,251.5829477940376,100.0,60.82528881818868,0,0,2,-1,0,Mainstream,-1,-0.22560330149621638,-0.5845859014348507,0.0,9309.0,0.4226496087095246,0,0,0,0,-0.7492785384535466,-0.6665643893389456
6,Heavy,Prepaid,East,37,10,-97.74259504592246,8.897729100226421,90.54278908162856,0.3681478487851897,1,77.84441165220673,1.846656028076572,54.913092009301785,14.063907002012565,29.588320328035717,140.19853081794753,26,9,11.140894473091942,1,1,307.51785282624814,98.5154916788043,67.16369502548184,0,0,2,-1,2,Data-Heavy Streamer,-1,0.7055594598279258,0.7319511980912196,0.006666666666666667,7026.0,0.42799436128922697,0,0,0,0,0.12219537224246321,-0.08442962814683388
7,Heavy,Postpaid,North,47,9,-111.89347427790916,9.040471086610896,39.65364181475079,1.3606012103322922,4,59.84510847868577,3.6351419416822335,82.34133084569683,3.550013799901428,27.28399477531796,228.19235775899972,23,15,34.265184319607215,1,0,260.42404766204584,79.08864138509728,53.41426930300103,0,0,2,-1,2,Data-Heavy Streamer,-1,0.11942585500961436,0.43845289142190924,0.0,3386.0,0.435030569844587,0,0,0,0,-0.3597924259639573,0.39685302847562615
8,Light,Postpaid,North,8,22,-53.5040175178722,16.6772820725239,174.5492611928221,2.6688008096730527,5,64.08094262271923,2.023699225970389,114.4628515998008,1.612180146300889,1.3621253803726128,227.26569353642415,21,21,26.916447438149472,2,0,194.3738559869028,65.62327760183659,82.52250060719358,0,0,1,-1,0,Light / Occasional,-1,-0.636893420119873,-0.07995713819134079,0.0,10107.0,0.4989769717627826,0,0,0,0,0.0862722214284385,1.2306102933632856
9,Light,Prepaid,East,57,14,-96.28721214429466,10.126995848164167,29.44764213415724,0.5032527922587273,2,60.89390125233053,1.2630116631100867,117.12773326160148,9.518939072995776,1.269383993933599,304.6613304833813,24,12,31.093612932791345,1,0,226.05110320000725,57.61711018214445,61.86935980749157,0,0,2,0,2,Light / Occasional,-1,-0.6962110961663461,0.6310863971125913,0.006666666666666667,674.0,0.40595655473748,0,0,0,0,-0.8690863537701149,0.06046709111634193
10,Light,Prepaid,West,37,12,-70.07490474897251,14.095751308711634,135.74424759846244,4.805635623090883,1,91.90475778908733,1.0835156509586368,6.737809042907186,1.1649056906024016,0.6854177432983597,190.24351511742316,33,21,55.89396225099993,1,0,323.65103408676254,89.65443718448536,75.13667667048213,0,0,1,-1,2,Light / Occasional,-1,0.04468652719135368,-0.5788255938397932,0.0,7444.0,0.4519994280693836,0,0,0,0,0.12972612141344242,-1.1031048629970226
11,Heavy,Prepaid,West,56,22,-80.0077094949711,8.426909701224663,48.186427681962165,0.3683929597300663,0,81.89108528563224,4.3625190591594505,16.322068033881855,2.783782448541662,22.03954360670731,196.5183409549032,25,15,8.576269218330793,2,0,220.09285263917772,86.39691686670146,68.29356112077534,0,0,2,-1,2,Mainstream,-1,-0.15342053731917402,1.9415168193761692,0.0,880.0,0.43656610021242664,0,0,0,0,-0.46983796052492355,-1.4698036045858858
12,IoT,Postpaid,North,45,7,-112.47420108600042,6.0079394334258645,38.71440762495655,1.6347539983643826,2,46.01141662054272,4.665910292253519,5.497427235206981,4.702370648177006,0.4121929990521769,335.6778067974093,31,17,28.095538255280925,2,4,95.24535252990584,46.34304261432316,55.34016768576517,1,0,2,-1,2,At-Risk / Frustrated,-1,-0.36487198082562644,0.4544627771694554,0.9666666666666667,48.0,0.48210060667963506,0,0,1,0,0.25221872156579545,-0.6555159877510202
13,Light,Postpaid,East,33,4,-80.70588864833857,16.453972539149028,24.427869574201548,2.995643336252461,0,37.45494471484665,1.153349661953075,7.268028253101866,1.2221613435490328,1.827632697596252,126.93726811487744,48,22,50.57772568317508,3,1,183.47323440144112,29.77676936543316,67.3848064183217,0,0,1,-1,2,Light / Occasional,-1,-0.5168886702173298,0.002743275064666175,0.0,4954.0,0.4304458410515948,0,0,0,0,-0.3774668657132424,-1.6545881777302038
14,Moderate,Postpaid,West,33,1,-73.72835196025889,16.519313955504487,79.78198584508435,0.4800415544022562,2,25.32234316672741,1.6526077184080532,126.7476033810869,2.709846251937873,6.324770134165486,297.53556939831475,33,16,38.99491909067895,1,0,174.4516757864367,21.603766950082164,75.03498794503669,0,0,1,-1,0,Mainstream,-1,-0.8741878996474588,-0.6823041611707588,0.0,4710.0,0.4074008327558935,0,0,0,0,-0.5518774650370564,-0.2997887892291173
15,Heavy,Prepaid,North,7,15,-58.293791988045925,15.134437934073548,80.59568514643092,0.7032168778078334,1,31.82312983434245,9.9124490325781,17.115166620110237,8.209080266788447,32.75092587426904,230.92101020880887,23,20,59.0561385205492,1,2,275.75400452452334,26.538448302280138,85.1623553854131,0,0,1,-1,0,Data-Heavy Streamer,-1,0.9136356191385832,-1.5866455364737906,0.0,14615.0,0.4593679299623049,0,0,0,0,0.3246043420340264,-0.3234770505811036
16,Heavy,Prepaid,East,22,12,-115.09400503066,12.965673612445505,31.57788915719889,0.1057137666976768,2,59.204890743364246,12.94881378679073,108.09590115288542,6.5208117446761085,19.656722843420557,295.4876822239907,34,21,45.91611282419324,1,1,261.669604836894,60.07355145286784,55.005862543456665,0,0,2,-1,0,Mainstream,-1,0.3084686682099501,-1.1839099046352428,0.0,9943.0,0.42910229823743645,0,0,0,0,-0.3888957710763384,-0.33128612958992254
17,Moderate,Prepaid,South,5,18,-99.30562104322117,10.074856617814456,61.97431362906133,5.762965055831859,1,36.20562359449848,3.140656743676072,147.10476006582664,14.877569307641622,11.04573676711281,43.26149887469981,23,15,10.23323868763363,3,1,251.6365230337411,48.11724384304068,62.89648454976604,0,0,2,-1,0,Mainstream,-1,0.1738049529902182,1.0411849813912244,0.0,13840.0,0.45071208294641496,0,0,0,0,0.22136618479740208,0.06028538679870871
